AÃ‘O,CAE,HIP,DAS,DBG,ALC,DBF,AGI,FUP,BPN,DEI,SXI,DBS,ACC,DBV,BAF,TAB,GLU,CAI,IMC,FSA,FLA,DRO,BDO,AVI,REC,LMD,LMN,DFE
1990,11615,42440,6717,12837,18840,4172,827,7223,7612,2470,2353,5851,3964,4459,778,46415,23040,15552,22271,487,827,1605,1161,19,137,30,334,61
1991,11714,42365,6661,12418,18775,4060,769,7223,7487,2413,2474,5723,3693,4324,691,45869,23242,15388,22689,447,819,1634,1161,17,130,27,312,58
1992,11972,43143,6730,12296,18993,4009,693,7347,7021,2313,2708,5724,3491,4272,648,46216,23940,15447,23518,392,788,1703,1180,14,118,24,282,56
1993,11967,43103,6662,11933,18801,3854,621,7342,6718,2205,2812,5603,3240,4122,612,45708,24239,15188,23909,343,761,1703,1188,12,107,21,259,53
1994,11802,42456,6499,11445,18544,3654,576,7256,6330,2152,3098,5405,2973,3922,580,44885,24199,14750,24043,310,729,1750,1174,10,100,19,246,48
1995,11941,43198,6538,11380,18538,3544,567,7405,6014,2221,3413,5410,2813,3848,584,45126,24817,14722,24729,298,743,1826,1197,10,99,19,247,50
1996,11982,43750,6548,11301,18619,3406,557,7521,5831,2278,3709,5391,2660,3753,597,45556,25350,14607,25447,286,751,1899,1223,9,96,18,243,52
1997,11933,44572,6569,11260,18570,3234,558,7651,5549,2347,3975,5376,2521,3643,632,45967,26163,14420,26237,278,762,1946,1249,9,88,17,232,50
1998,12007,45963,6655,11347,18408,3090,544,7847,5594,2435,3963,5430,2417,3580,690,46526,27281,14388,27296,262,786,1937,1279,8,84,17,226,51
1999,11955,47052,6694,11360,18267,2947,517,7977,5259,2424,3960,5447,2300,3511,743,46945,28137,14221,28226,244,810,1920,1310,7,75,15,204,53
2000,11437,46300,6467,10843,17673,2723,474,7774,4946,2354,3966,5188,2097,3315,747,45673,27640,13504,28032,219,809,1896,1263,6,68,14,184,50
2001,11352,47322,6470,10749,17608,2636,454,7827,4832,2350,4014,5140,1978,3275,761,45880,27874,13293,28610,205,832,1935,1265,6,65,12,173,55
2002,11439,49154,6561,10827,17660,2601,452,7949,5049,2452,4095,5182,1889,3296,783,46722,28339,13271,29460,199,859,1996,1292,6,65,12,173,59
2003,11448,50729,6591,10831,17527,2553,428,8030,5037,2423,4181,5179,1793,3292,805,47185,28653,13169,30052,183,883,2028,1335,6,64,11,167,57
2004,11093,50583,6409,10477,17005,2422,387,7827,4678,2230,4061,5003,1641,3174,794,46319,28008,12668,29713,158,862,1999,1329,5,56,10,149,56
2005,10908,50526,6276,10255,16890,2307,354,7670,4156,2047,3926,4896,1506,3084,785,45836,27533,12378,29490,137,837,2025,1321,4,50,9,132,53
2006,10979,51530,6281,10240,17081,2233,338,7653,3962,1950,4010,4899,1407,3052,789,46026,27546,12382,29689,124,834,2112,1343,4,48,8,125,56
2007,11434,53868,6439,10491,17571,2204,332,7848,4141,1934,4109,5041,1347,3089,814,47285,28339,12777,30527,117,861,2248,1382,4,48,7,128,57
2008,11253,53466,6282,10161,17478,2070,322,7626,4145,1838,4110,4895,1222,2958,791,46398,27704,12462,29994,109,842,2293,1357,3,47,7,127,54
2009,11470,54458,6316,10174,17553,2013,318,7648,3972,1782,4171,4918,1144,2929,801,46503,28011,12583,30291,102,855,2357,1356,3,46,7,124,60
2010,11835,56051,6464,10345,17750,1995,321,7793,3930,1740,4147,5011,1091,2945,829,46971,28701,12889,30861,98,882,2416,1398,3,43,7,119,54
2011,12172,56401,6528,10416,18037,1972,326,7876,3795,1690,4136,5040,1036,2934,840,47324,29211,13162,31240,96,899,2495,1422,3,42,7,114,51
2012,12490,56213,6574,10406,18364,1939,326,7887,3547,1623,4293,5017,979,2903,843,47485,29692,13401,31548,93,903,2587,1445,3,38,6,106,48
2013,12801,56167,6649,10429,18666,1921,334,7966,3517,1592,4370,5010,935,2887,853,47689,30416,13656,31946,94,927,2651,1471,3,37,6,104,47
2014,13006,55872,6686,10369,18804,1899,341,7993,3458,1556,4437,4957,886,2855,860,47575,31043,13815,32192,95,931,2682,1480,2,36,6,100,48
2015,13329,56821,6856,10582,19272,1928,341,8189,3126,1539,4497,5041,853,2900,888,48531,32446,14142,33167,92,959,2781,1523,2,33,6,90,48
2016,13554,59015,7157,11080,20220,2029,345,8568,2950,1559,4655,5275,834,3030,994,50483,34856,14358,34897,90,1003,2941,1573,2,31,5,84,46
2017,13108,59610,7263,11298,20571,2094,334,8618,2800,1560,4684,5370,791,3087,1089,51077,36691,13858,35840,86,980,2977,1597,2,29,5,78,45
2018,13019,58718,7186,11199,20625,2093,320,8509,2714,1533,4669,5308,739,3053,1075,50863,37660,13697,35980,80,944,3001,1565,2,27,4,75,45
2019,13120,59080,7258,11347,20962,2134,315,8578,2662,1539,4661,5374,708,3085,1088,51306,39517,13778,36676,78,933,3062,1572,2,26,4,73,45
